Zona;Sexo;Edad;Relacion;Estado Civil;Lugar 5 años;Pueblo;Seguro Salud;Embarazo;Leer y Escribir;Sum y Mul;Nivel edu;Matricula;Prox Nivel ed;Ocupacion
1;1;38;1;2;1;2;6;0;1;1;32;2;0;3
1;2;33;2;2;1;2;6;2;1;1;31;2;0;0
1;2;15;3;1;1;2;6;3;1;1;42;1;42;0
1;2;10;3;1;1;2;6;0;1;1;41;1;41;0
1;2;6;3;1;1;2;6;0;1;1;13;1;41;0
1;1;80;1;2;1;1;2;0;1;1;22;2;0;0
1;2;78;2;2;1;1;2;0;1;2;22;2;0;0
1;2;22;1;1;2;2;6;3;1;1;72;1;72;0
1;2;16;6;1;2;2;6;3;1;1;42;1;42;0
1;1;32;1;3;1;1;1;0;1;1;31;2;0;1
1;2;28;2;3;1;1;1;2;1;1;31;2;0;0
1;2;1;3;1;4;2;1;0;0;0;0;0;0;0
1;1;0;3;1;4;2;1;0;0;0;0;0;0;0
1;2;52;1;4;1;2;6;0;1;1;21;2;0;1
1;1;65;1;2;1;1;1;0;1;1;21;2;0;3
1;2;64;2;2;1;1;1;0;1;1;21;2;0;6
1;1;42;1;2;1;2;2;0;1;1;32;2;0;3
1;2;35;2;2;1;2;2;2;1;1;72;2;0;1
1;1;12;3;1;1;2;2;0;1;1;41;1;42;0
1;1;8;3;1;1;2;2;0;1;1;41;1;41;0
1;1;33;1;3;1;2;1;0;2;1;31;2;0;1
1;2;29;2;3;1;2;1;2;1;1;32;2;0;0
1;1;10;3;1;1;2;1;0;1;1;41;1;41;0
1;2;3;3;1;4;2;1;0;0;0;0;0;0;0
1;1;68;1;6;1;2;1;0;1;1;21;2;0;1
1;1;17;3;1;1;2;6;0;2;2;11;2;0;0
1;1;60;1;2;1;2;1;0;1;1;22;2;0;3
1;2;60;2;2;1;2;1;0;1;1;22;2;0;0
1;2;25;3;1;1;2;1;3;1;1;72;1;72;0
1;1;33;1;2;1;2;2;0;1;1;76;2;0;1
1;2;32;2;2;1;2;2;2;1;1;76;2;0;1
1;1;5;3;1;1;2;2;0;2;2;11;2;0;0
1;1;46;1;2;1;2;1;0;1;1;23;2;0;3
1;2;42;2;2;1;2;6;2;1;1;23;2;0;3
1;1;19;3;1;1;2;6;0;1;1;42;2;0;1
1;1;8;3;1;1;2;6;0;1;1;41;1;41;0
1;1;3;3;1;4;2;1;0;0;0;0;0;0;0
1;1;54;1;2;1;1;2;0;1;1;74;2;0;1
1;2;46;2;2;1;2;2;2;1;1;77;2;0;1
1;1;9;3;1;1;2;1;0;1;1;41;1;41;0
1;2;8;3;1;1;2;1;0;1;1;41;1;41;0
1;2;26;12;2;1;2;6;2;1;1;32;2;0;8
1;2;4;13;1;4;2;6;0;2;2;11;2;0;0
1;2;2;13;1;4;2;6;0;0;0;0;0;0;0
1;1;40;1;2;1;2;6;0;1;1;23;2;0;1
